"","from","V1","reason"
"1","h","verveermelannes",NA
"2","verveermelannes","h",NA
"3","h","verveermelannes",NA
"4","verveermelannes","h",NA
"5","h","verveermelannes",NA
"6","verveermelannes","h",NA
"7","verveermelannes","h",NA
"8","h","verveermelannes",NA
"9","verveermelannes","h",NA
"10","h","sullivanjacob",NA
"11","h","verveermelannes",NA
"12","verveermelannes","h",NA
"13","h","verveermelannes",NA
"14","verveermelannes","h",NA
"15","h","sullivanjacob",NA
"16","h","humaabedin",NA
"17","humaabedin","h",NA
"18","h","humaabedin",NA
"19","humaabedin","h",NA
"20","h","humaabedin",NA
"21","humaabedin","h",NA
"22","h","humaabedin",NA
"23","humaabedin","h",NA
"24","h","humaabedin",NA
"25","humaabedin","h",NA
"26","h","humaabedin",NA
"27","humaabedin","h",NA
"28","h","verveermelannes",NA
"29","verveermelannes","h",NA
"30","h","verveermelannes",NA
"31","h","cherylmills",NA
"32","cherylmills","h",NA
"33","gordonphiliph","sullivanjacob",NA
"34","sullivanjacob","gordonphiliph",NA
"35","gordonphiliph","humaabedin",NA
"36","h","campbelikm",NA
"37","campbellkurtm","h",NA
"38","h","campbellkurtm",NA
"39","jilotylaurenc","h",NA
"40","h","humaabedin",NA
"41","humaabedin","h",NA
"42","h","humaabedin",NA
"43","humaabedin","h",NA
"44","h","jakesullivar","1.4(B),1.4(D)"
"45","h","jakesullivar","1.4(B),1.4(D)"
"46","sullivanjacob","h","1.4(B),1.4(D)"
"47","h","sullivanjacob","1.4(B),1.4(D)"
"48","sullivanjacob","h","1.4(B),1.4(D)"
"49","h","sullivanjacob","1.4(B),1.4(D)"
"50","sullivanjacob","h","1.4(B),1.4(D)"
"51","h","sullivanjacob","1.4(D),B1"
"52","sullivanjacob","h","1.4(D),B1"
"53","h","sullivanjacob","1.4(D),B1"
"54","sullivanjacob","h","1.4(D),B1"
"55","h","valmorou",NA
"56","h","sullivanjacob","1.4(B),1.4(D)"
"57","sullivanjacob","h","1.4(B),1.4(D)"
"58","h","humaabedin",NA
"59","humaabedin","h",NA
"60","h","humaabedin",NA
"61","humaabedin","h",NA
"62","h","sullivanjacob",NA
"63","sullivanjacob","h",NA
